1100023	7	7	115453	115455	808180	16492	16494	115452	2356	2358	16494	336	337	2358	48	49	340	5	7	40	1	2	12
1100027	2	2	137504	137504	275008	68751	68751	137502	34376	34376	68752	17188	17188	34376	8594	8594	17188	4297	4297	8594	2149	2149	4298
1100051	2	2	137507	137507	275014	68753	68753	137506	34376	34376	68752	17189	17189	34378	8594	8594	17188	4297	4297	8594	2148	2148	4296
1100051	7	7	115457	115458	808200	16492	16495	115458	2355	2358	16494	335	337	2352	48	49	340	6	7	48	1	2	8
1100101	2	2	137512	137512	275024	68757	68757	137514	34378	34378	68756	17189	17189	34378	8594	8594	17188	4298	4298	8596	2148	2148	4296
1100123	2	2	137516	137516	275032	68757	68757	137514	34379	34379	68758	17190	17190	34380	8594	8594	17188	4298	4298	8596	2148	2148	4296
1100131	2	2	137517	137517	275034	68758	68758	137516	34379	34379	68758	17189	17189	34378	8595	8595	17190	4298	4298	8596	2148	2148	4296
1100147	2	2	137519	137519	275038	68759	68759	137518	34379	34379	68758	17190	17190	34380	8595	8595	17190	4298	4298	8596	2148	2148	4296
1100149	6	6	127331	127333	763990	21221	21222	127330	3538	3538	21228	589	589	3534	98	98	588	17	18	104	1	3	14
1100167	3	3	162988	162988	488964	54330	54330	162990	18109	18110	54328	6036	6037	18110	2012	2012	6036	670	670	2010	224	224	672
1100171	2	2	137522	137522	275044	68760	68760	137520	34381	34381	68762	17190	17190	34380	8595	8595	17190	4297	4297	8594	2149	2149	4298
1100179	2	2	137523	137523	275046	68761	68761	137522	34380	34380	68760	17191	17191	34382	8595	8595	17190	4297	4297	8594	2149	2149	4298
1100179	3	3	162989	162990	488968	54328	54330	162988	18110	18112	54332	6036	6037	18110	2012	2012	6036	670	670	2010	224	224	672
1100213	2	2	137526	137526	275052	68764	68764	137528	34381	34381	68762	17191	17191	34382	8596	8596	17192	4297	4297	8594	2149	2149	4298
1100219	2	2	137528	137528	275056	68763	68763	137526	34382	34382	68764	17191	17191	34382	8596	8596	17192	4297	4297	8594	2149	2149	4298
1100219	7	7	115473	115476	808322	16496	16498	115478	2356	2358	16496	335	337	2352	48	49	340	6	7	48	1	2	8
1100243	2	2	137531	137531	275062	68765	68765	137530	34382	34382	68764	17192	17192	34384	8595	8595	17190	4298	4298	8596	2149	2149	4298
1100303	7	7	115482	115484	808384	16497	16499	115486	2356	2358	16498	335	337	2352	48	49	340	6	7	48	1	2	8
1100311	6	6	127351	127351	764106	21225	21225	127350	3537	3538	21226	589	590	3536	98	98	588	16	17	98	3	4	22
1100357	2	2	137544	137544	275088	68773	68773	137546	34386	34386	68772	17193	17193	34386	8596	8596	17192	4299	4299	8598	2149	2149	4298
1100381	2	2	137547	137547	275094	68774	68774	137548	34387	34387	68774	17194	17194	34388	8596	8596	17192	4299	4299	8598	2149	2149	4298
1100387	2	2	137549	137549	275098	68774	68774	137548	34387	34387	68774	17193	17193	34386	8597	8597	17194	4299	4299	8598	2149	2149	4298
1100419	2	2	137553	137553	275106	68776	68776	137552	34388	34388	68776	17194	17194	34388	8597	8597	17194	4298	4298	8596	2150	2150	4300
1100443	3	3	163028	163029	489086	54342	54342	163026	18114	18115	54344	6038	6040	18116	2012	2013	6038	670	670	2010	224	224	672
1100443	7	7	115498	115499	808488	16498	16501	115498	2355	2358	16498	336	338	2360	48	49	340	5	7	40	1	2	12
