1100009	2	3	183335	366669	1100008	61112	244446	1100008	20371	162964	1100008	6790	108642	1100008	2263	72427	1100008	754	48283	1100008
1100009	2	6	275001	275003	1100008	137499	137502	1100008	68748	68751	1100008	34372	34376	1100008	17184	17190	1100008	8589	8596	1100008
1100009	2	12	275001	275003	1100008	137499	137504	1100008	68747	68757	1100008	34355	34397	1100008	17167	17212	1100008	8113	9079	1100008
1100009	2	17	258825	291179	1100008	121799	154153	1100008	57317	81612	1100008	26971	43209	1100008	12690	22874	1100008	5969	12099	1100008
1100009	2	21	261907	288097	1100008	124718	150908	1100008	59390	79047	1100008	28283	41406	1100008	13470	21695	1100008	6416	11365	1100008
1100009	2	27	264817	285187	1100008	127498	147868	1100008	61386	76670	1100008	29611	39694	1100008	14294	20553	1100008	6905	10634	1100008
1100009	2	29	265519	284485	1100008	128181	147147	1100008	61878	76108	1100008	29868	39363	1100008	14397	20377	1100008	6949	10537	1100008
1100009	2	30	274995	275009	1100008	137494	137508	1100008	68743	68754	1100008	34368	34386	1100008	17171	17202	1100008	8537	8652	1100008
1100009	2	33	266669	283335	1100008	129294	145960	1100008	62672	75185	1100008	30378	38727	1100008	14699	19964	1100008	7120	10315	1100008
1100009	2	34	275001	275003	1100008	137500	137503	1100008	68748	68754	1100008	34369	34379	1100008	17178	17197	1100008	8575	8620	1100008
1100009	4	6	45833	91668	1100008	7638	30556	1100008	1273	10186	1100008	212	3397	1100008	35	1134	1100008	5	382	1100008
1100009	4	12	68750	68751	1100008	17185	17190	1100008	4293	4302	1100008	1063	1086	1100008	251	288	1100008	37	90	1100008
1100009	4	17	64706	80883	1100008	15224	23789	1100008	3581	6997	1100008	840	2057	1100008	193	603	1100008	39	177	1100008
1100009	4	21	65476	78572	1100008	15588	22449	1100008	3710	6414	1100008	877	1833	1100008	204	527	1100008	35	152	1100008
1100009	4	27	61110	71299	1100008	13575	18495	1100008	3015	4800	1100008	581	1339	1100008	99	373	1100008	14	125	1100008
1100009	4	29	66378	75864	1100008	16021	20928	1100008	3855	5779	1100008	918	1591	1100008	213	442	1100008	47	125	1100008
1100009	4	30	64162	73336	1100008	14968	19559	1100008	3489	5218	1100008	805	1396	1100008	181	380	1100008	35	112	1100008
1100009	4	33	66667	75001	1100008	16160	20454	1100008	3906	5576	1100008	910	1479	1100008	179	403	1100008	34	114	1100008
1100009	4	34	64706	72796	1100008	15222	19271	1100008	3580	5103	1100008	834	1354	1100008	187	370	1100008	35	116	1100008
1100009	7	12	13095	26191	1100008	1091	4366	1100008	90	728	1100008	7	124	1100008	0	27	1100008	0	15	1100008
1100009	7	17	18487	27732	1100008	2174	4895	1100008	255	864	1100008	29	155	1100008	2	32	1100008	0	8	1100008
1100009	7	21	22449	22450	1100008	3206	3208	1100008	457	459	1100008	63	68	1100008	7	13	1100008	0	4	1100008
1100009	7	27	17460	23282	1100008	1935	3456	1100008	214	512	1100008	0	143	1100008	0	38	1100008	0	16	1100008
1100009	7	29	21674	27095	1100008	2984	4675	1100008	403	815	1100008	46	145	1100008	2	28	1100008	0	9	1100008
1100009	7	30	20952	26194	1100008	2792	4368	1100008	368	733	1100008	45	128	1100008	3	24	1100008	0	8	1100008
1100009	7	33	19047	23810	1100008	2307	3609	1100008	275	550	1100008	26	97	1100008	1	23	1100008	0	7	1100008
1100009	7	34	18487	23110	1100008	2175	3400	1100008	256	500	1100008	22	80	1100008	0	18	1100008	0	6	1100008
1100009	8	12	11458	22917	1100008	954	3820	1100008	79	638	1100008	6	110	1100008	0	24	1100008	0	9	1100008
1100009	8	17	16176	24265	1100008	1902	4282	1100008	223	756	1100008	24	136	1100008	1	24	1100008	0	6	1100008
1100009	8	21	13095	19644	1100008	1246	2808	1100008	118	402	1100008	10	59	1100008	0	11	1100008	0	3	1100008
1100009	8	27	15276	20372	1100008	1692	3024	1100008	186	448	1100008	0	126	1100008	0	34	1100008	0	14	1100008
1100009	8	29	14224	18967	1100008	1470	2620	1100008	150	368	1100008	12	57	1100008	0	13	1100008	0	4	1100008
1100009	8	30	13749	18336	1100008	1374	2447	1100008	135	332	1100008	10	49	1100008	0	9	1100008	0	4	1100008
1100009	8	33	16666	20834	1100008	2018	3157	1100008	242	479	1100008	24	72	1100008	0	14	1100008	0	5	1100008
1100009	8	34	16176	20221	1100008	1902	2974	1100008	220	441	1100008	16	70	1100008	0	16	1100008	0	5	1100008
1100023	2	7	235719	314292	1100022	101023	179596	1100022	43296	102626	1100022	18555	58645	1100022	7954	33516	1100022	3405	19165	1100022
1100023	2	13	253851	296160	1100022	117162	159471	1100022	54075	85869	1100022	24965	46224	1100022	11527	24884	1100022	5340	13410	1100022
1100023	2	14	275002	275009	1100022	137499	137506	1100022	68749	68755	1100022	34371	34383	1100022	17183	17198	1100022	8584	8608	1100022
1100023	2	23	263049	286962	1100022	125806	149719	1100022	60168	78115	1100022	28773	40757	1100022	13757	21265	1100022	6575	11089	1100022
1100023	2	28	275005	275006	1100022	137501	137504	1100022	68747	68757	1100022	34372	34381	1100022	17174	17206	1100022	8568	8621	1100022
1100023	2	31	266135	283876	1100022	128775	146516	1100022	62311	75621	1100022	30154	39027	1100022	14581	20120	1100022	7047	10368	1100022
1100023	2	43	268611	281400	1100022	131166	143955	1100022	64050	73641	1100022	31278	37673	1100022	15272	19273	1100022	7467	9863	1100022
1100023	2	46	275005	275006	1100022	137501	137504	1100022	68741	68760	1100022	34360	34392	1100022	17165	17208	1100022	8569	8614	1100022
