1100009	2	3	183335	2	366669	2	61112	2	244446	2	20371	2	162964	2	6790	2	108642	2	2263	2	72427	2	754	2	48283	2
1100009	2	6	275001	2	275003	2	137499	2	137502	4	68748	2	68751	12	34372	2	34376	14	17184	2	17190	4	8589	2	8596	10
1100009	2	12	275001	2	275003	2	137499	4	137504	2	68747	8	68757	2	34355	6	34397	2	17167	2	17212	2	8113	2	9079	2
1100009	2	17	258825	2	291179	2	121799	2	154153	2	57317	2	81612	2	26971	2	43209	2	12690	2	22874	2	5969	2	12099	2
1100009	2	21	261907	2	288097	2	124718	2	150908	2	59390	2	79047	2	28283	2	41406	2	13470	2	21695	2	6416	2	11365	2
1100009	2	27	264817	2	285187	2	127498	2	147868	2	61386	2	76670	2	29611	2	39694	2	14294	2	20553	2	6905	2	10634	2
1100009	2	29	265519	2	284485	2	128181	2	147147	2	61878	2	76108	2	29868	2	39363	2	14397	2	20377	2	6949	2	10537	2
1100009	2	30	274995	2	275009	2	137494	2	137508	2	68743	2	68754	6	34368	6	34386	4	17171	6	17202	4	8537	2	8652	2
1100009	2	33	266669	2	283335	2	129294	2	145960	2	62672	2	75185	2	30378	2	38727	2	14699	2	19964	2	7120	2	10315	2
1100009	2	34	275001	2	275003	2	137500	4	137503	2	68748	4	68754	2	34369	2	34379	6	17178	2	17197	2	8575	2	8620	2
1100009	4	6	45833	2	91668	4	7638	2	30556	12	1273	28	10186	14	212	50	3397	6	35	82	1134	4	5	28	382	2
1100009	4	12	68750	8	68751	8	17185	6	17190	10	4293	4	4302	14	1063	6	1086	46	251	12	288	18	37	6	90	428
1100009	4	17	64706	8	80883	4	15224	6	23789	2	3581	16	6997	2	840	4	2057	2	193	8	603	2	39	4	177	2
1100009	4	21	65476	2	78572	2	15588	2	22449	2	3710	14	6414	2	877	8	1833	2	204	6	527	2	35	2	152	2
1100009	4	27	61110	2	71299	4	13575	2	18495	4	3015	2	4800	2	581	2	1339	2	99	2	373	4	14	2	125	6
1100009	4	29	66378	2	75864	2	16021	2	20928	2	3855	2	5779	2	918	2	1591	4	213	2	442	2	47	2	125	2
1100009	4	30	64162	2	73336	4	14968	4	19559	4	3489	6	5218	6	805	2	1396	6	181	2	380	2	35	2	112	4
1100009	4	33	66667	10	75001	2	16160	4	20454	4	3906	4	5576	2	910	4	1479	4	179	2	403	2	34	2	114	2
1100009	4	34	64706	6	72796	4	15222	2	19271	4	3580	8	5103	6	834	2	1354	6	187	4	370	4	35	2	116	2
1100009	7	12	13095	10	26191	24	1091	20	4366	80	90	4	728	587	7	44	124	528	0	814	27	274	0	372436	15	124
1100009	7	17	18487	14	27732	8	2174	12	4895	8	255	54	864	123	29	360	155	14	2	768	32	5	0	211642	8	29
1100009	7	21	22449	42	22450	7	3206	32	3208	39	457	302	459	652	63	24	68	176	7	7390	13	666	0	101781	4	650
1100009	7	27	17460	5	23282	12	1935	2	3456	36	214	2	512	826	0	1	143	60	0	21437	38	500	0	472219	16	98
1100009	7	29	21674	10	27095	2	2984	12	4675	2	403	42	815	2	46	60	145	2	2	302	28	1	0	195646	9	2
1100009	7	30	20952	30	26194	2	2792	32	4368	2	368	85	733	6	45	104	128	2	3	160	24	8	0	167424	8	4
1100009	7	33	19047	4	23810	25	2307	8	3609	18	275	4	550	66	26	2	97	14	1	144	23	14	0	196495	7	10
1100009	7	34	18487	4	23110	18	2175	4	3400	4	256	7	500	1180	22	3	80	180	0	3	18	128	0	230655	6	146
1100009	8	12	11458	18	22917	26	954	16	3820	78	79	218	638	106	6	748	110	16	0	13626	24	198	0	1434702	9	2516
1100009	8	17	16176	22	24265	6	1902	26	4282	6	223	280	756	4	24	1190	136	2	1	1488	24	4	0	1201336	6	4
1100009	8	21	13095	14	19644	2	1246	12	2808	20	118	86	402	174	10	154	59	540	0	7492	11	1124	0	1157004	3	6080
1100009	8	27	15276	10	20372	12	1692	12	3024	18	186	12	448	124	0	340	126	4	0	101258	34	16	0	1600710	14	4
1100009	8	29	14224	18	18967	6	1470	26	2620	30	150	4	368	88	12	4	57	6	0	9508	13	40	0	1223274	4	722
1100009	8	30	13749	10	18336	16	1374	18	2447	6	135	8	332	4	10	6	49	34	0	574	9	526	0	1148634	4	2
1100009	8	33	16666	18	20834	4	2018	20	3157	2	242	258	479	2	24	934	72	2	0	1146	14	6	0	1188818	5	8
1100009	8	34	16176	20	20221	12	1902	58	2974	18	220	168	441	2	16	120	70	12	0	2302	16	2	0	1249752	5	10
1100023	2	7	235719	2	314292	2	101023	2	179596	2	43296	2	102626	2	18555	2	58645	2	7954	2	33516	2	3405	2	19165	2
1100023	2	13	253851	2	296160	2	117162	2	159471	2	54075	2	85869	2	24965	2	46224	2	11527	2	24884	2	5340	2	13410	2
1100023	2	14	275002	2	275009	2	137499	2	137506	2	68749	4	68755	2	34371	4	34383	2	17183	2	17198	2	8584	4	8608	2
