1100023	7	7	22449	22450	1100022	3207	3208	1100022	458	459	1100022	65	66	1100022	9	10	1100022	1	2	1100022
1100027	2	2	275006	275007	1100026	137503	137504	1100026	68751	68752	1100026	34375	34376	1100026	17187	17188	1100026	8593	8594	1100026
1100051	2	2	275012	275013	1100050	137506	137507	1100050	68753	68754	1100050	34376	34377	1100050	17188	17189	1100050	8594	8595	1100050
1100051	7	7	22450	22450	1100050	3207	3208	1100050	458	459	1100050	65	66	1100050	9	10	1100050	1	2	1100050
1100101	2	2	275025	275025	1100100	137512	137513	1100100	68756	68757	1100100	34378	34379	1100100	17189	17190	1100100	8594	8595	1100100
1100123	2	2	275030	275031	1100122	137515	137516	1100122	68757	68758	1100122	34378	34379	1100122	17189	17190	1100122	8594	8595	1100122
1100131	2	2	275032	275033	1100130	137516	137517	1100130	68758	68759	1100130	34379	34380	1100130	17189	17190	1100130	8594	8595	1100130
1100147	2	2	275036	275037	1100146	137518	137519	1100146	68759	68760	1100146	34379	34380	1100146	17189	17190	1100146	8594	8595	1100146
1100149	6	6	30559	30560	1100148	5093	5094	1100148	848	849	1100148	141	142	1100148	23	24	1100148	3	4	1100148
1100167	3	3	122240	122241	1100166	40746	40747	1100166	13582	13583	1100166	4527	4528	1100166	1509	1510	1100166	503	504	1100166
1100171	2	2	275042	275043	1100170	137521	137522	1100170	68760	68761	1100170	34380	34381	1100170	17190	17191	1100170	8595	8596	1100170
1100179	2	2	275044	275045	1100178	137522	137523	1100178	68761	68762	1100178	34380	34381	1100178	17190	17191	1100178	8595	8596	1100178
1100179	3	3	122242	122242	1100178	40747	40748	1100178	13582	13583	1100178	4527	4528	1100178	1509	1510	1100178	503	504	1100178
1100213	2	2	275053	275053	1100212	137526	137527	1100212	68763	68764	1100212	34381	34382	1100212	17190	17191	1100212	8595	8596	1100212
1100219	2	2	275054	275055	1100218	137527	137528	1100218	68763	68764	1100218	34381	34382	1100218	17190	17191	1100218	8595	8596	1100218
1100219	7	7	22453	22454	1100218	3207	3208	1100218	458	459	1100218	65	66	1100218	9	10	1100218	1	2	1100218
1100243	2	2	275060	275061	1100242	137530	137531	1100242	68765	68766	1100242	34382	34383	1100242	17191	17192	1100242	8595	8596	1100242
1100303	7	7	22455	22456	1100302	3207	3208	1100302	458	459	1100302	65	66	1100302	9	10	1100302	1	2	1100302
1100311	6	6	30564	30565	1100310	5094	5095	1100310	849	850	1100310	141	142	1100310	23	24	1100310	3	4	1100310
1100357	2	2	275089	275089	1100356	137544	137545	1100356	68772	68773	1100356	34386	34387	1100356	17193	17194	1100356	8596	8597	1100356
1100381	2	2	275095	275095	1100380	137547	137548	1100380	68773	68774	1100380	34386	34387	1100380	17193	17194	1100380	8596	8597	1100380
1100387	2	2	275096	275097	1100386	137548	137549	1100386	68774	68775	1100386	34387	34388	1100386	17193	17194	1100386	8596	8597	1100386
1100419	2	2	275104	275105	1100418	137552	137553	1100418	68776	68777	1100418	34388	34389	1100418	17194	17195	1100418	8597	8598	1100418
1100443	3	3	122271	122272	1100442	40757	40758	1100442	13585	13586	1100442	4528	4529	1100442	1509	1510	1100442	503	504	1100442
1100443	7	7	22458	22458	1100442	3208	3209	1100442	458	459	1100442	65	66	1100442	9	10	1100442	1	2	1100442
1100467	3	3	122274	122274	1100466	40758	40758	1100466	13586	13586	1100466	4528	4529	1100466	1509	1510	1100466	503	504	1100466
1100471	7	7	22458	22459	1100470	3208	3209	1100470	458	459	1100470	65	66	1100470	9	10	1100470	1	2	1100470
1100483	2	2	275120	275121	1100482	137560	137561	1100482	68780	68781	1100482	34390	34391	1100482	17195	17196	1100482	8597	8598	1100482
1100503	3	3	122278	122278	1100502	40759	40760	1100502	13586	13587	1100502	4528	4529	1100502	1509	1510	1100502	503	504	1100502
1100509	6	6	30569	30570	1100508	5094	5095	1100508	849	850	1100508	141	142	1100508	23	24	1100508	3	4	1100508
1100557	2	2	275139	275139	1100556	137569	137570	1100556	68784	68785	1100556	34392	34393	1100556	17196	17197	1100556	8598	8599	1100556
1100557	6	6	30571	30571	1100556	5095	5096	1100556	849	850	1100556	141	142	1100556	23	24	1100556	3	4	1100556
1100581	2	2	275145	275145	1100580	137572	137573	1100580	68786	68787	1100580	34393	34394	1100580	17196	17197	1100580	8598	8599	1100580
1100581	6	6	30571	30572	1100580	5095	5096	1100580	849	850	1100580	141	142	1100580	23	24	1100580	3	4	1100580
1100653	2	2	275163	275163	1100652	137581	137582	1100652	68790	68791	1100652	34395	34396	1100652	17197	17198	1100652	8598	8599	1100652
1100653	6	6	30573	30574	1100652	5095	5096	1100652	849	850	1100652	141	142	1100652	23	24	1100652	3	4	1100652
1100683	2	2	275170	275171	1100682	137585	137586	1100682	68792	68793	1100682	34396	34397	1100682	17198	17199	1100682	8599	8600	1100682
1100683	3	3	122298	122298	1100682	40766	40766	1100682	13588	13589	1100682	4529	4530	1100682	1509	1510	1100682	503	504	1100682
1100747	2	2	275186	275187	1100746	137593	137594	1100746	68796	68797	1100746	34398	34399	1100746	17199	17200	1100746	8599	8600	1100746
1100797	2	2	275199	275199	1100796	137599	137600	1100796	68799	68800	1100796	34399	34400	1100796	17199	17200	1100796	8599	8600	1100796
1100797	6	6	30577	30578	1100796	5096	5097	1100796	849	850	1100796	141	142	1100796	23	24	1100796	3	4	1100796
