1100009	2
1100009	4
1100009	7
1100009	8
1100023	2
1100023	3
1100023	6
1100023	7
1100027	2
1100039	2
1100041	2
1100041	3
1100041	4
1100041	5
1100041	6
1100041	8
1100051	2
1100051	5
1100051	7
1100063	2
1100089	2
1100089	3
1100089	4
1100089	6
1100089	8
1100093	2
1100093	4
1100093	7
1100101	2
1100101	3
1100101	4
1100101	5
1100101	6
1100123	2
1100131	2
1100131	3
1100131	5
1100131	6
1100147	2
1100149	2
1100149	3
1100149	4
1100149	6
1100149	7
1100161	2
1100161	3
1100161	4
1100161	5
1100161	6
1100161	8
1100167	2
1100167	3
1100167	6
1100171	2
1100171	5
1100179	2
1100179	3
1100179	6
1100213	2
1100213	4
1100219	2
1100219	7
1100243	2
1100249	2
1100249	4
1100249	8
1100261	2
1100261	4
1100261	5
1100261	7
1100273	2
1100273	4
1100273	8
1100279	2
1100303	2
1100303	7
1100311	2
1100311	3
1100311	5
1100311	6
1100321	2
1100321	4
1100321	5
1100321	8
1100353	2
1100353	3
1100353	4
1100353	6
1100353	8
1100357	2
1100357	4
1100377	2
1100377	3
1100377	4
1100377	6
1100377	8
1100381	2
1100381	4
1100381	5
1100387	2
1100387	7
1100419	2
1100419	3
1100419	6
1100441	2
1100441	4
1100441	5
1100441	8
1100443	2
1100443	3
1100443	6
1100443	7
1100447	2
1100467	2
1100467	3
1100467	6
1100471	2
1100471	5
1100471	7
1100483	2
1100503	2
1100503	3
1100503	6
1100509	2
1100509	3
1100509	4
1100509	6
1100513	2
1100513	4
1100513	7
1100513	8
1100543	2
1100557	2
1100557	3
1100557	4
1100557	6
1100569	2
1100569	3
1100569	4
1100569	6
1100569	7
1100569	8
1100581	2
1100581	3
1100581	4
1100581	5
1100581	6
1100591	2
1100591	5
1100611	2
1100611	3
1100611	5
1100611	6
1100611	7
1100641	2
1100641	3
1100641	4
1100641	5
1100641	6
1100641	8
1100653	2
1100653	3
1100653	4
1100653	6
1100653	7
1100681	2
1100681	4
1100681	5
1100681	7
1100681	8
1100683	2
1100683	3
1100683	6
1100747	2
1100773	2
1100773	3
1100773	4
1100773	6
1100777	2
1100777	4
1100777	8
1100783	2
1100797	2
1100797	3
1100797	4
1100797	6
1100807	2
1100807	7
1100831	2
1100831	5
1100833	2
1100833	3
1100833	4
1100833	6
1100833	8
1100837	2
1100837	4
1100839	2
1100839	3
1100839	6
1100851	2
1100851	3
1100851	5
1100851	6
1100857	2
1100857	3
1100857	4
1100857	6
1100857	8
1100887	2
1100887	3
1100887	6
1100893	2
1100893	3
1100893	4
1100893	6
1100899	2
1100899	3
1100899	6
1100909	2
1100909	4
1100921	2
1100921	4
1100921	5
1100921	8
1100933	2
1100933	4
1100933	7
1100947	2
1100947	3
1100947	6
1100947	7
1100977	2
1100977	3
1100977	4
1100977	6
1100977	8
1101071	2
1101071	5
1101091	2
1101091	3
1101091	5
1101091	6
1101097	2
1101097	3
1101097	4
1101097	6
1101097	8
1101103	2
1101103	3
1101103	6
1101109	2
1101109	3
1101109	4
1101109	6
1101127	2
1101127	3
1101127	6
1101143	2
1101143	7
1101169	2
1101169	3
1101169	4
1101169	6
1101169	8
1101179	2
1101193	2
1101193	3
1101193	4
1101193	6
1101193	8
1101211	2
1101211	3
1101211	5
1101211	6
1101229	2
1101229	3
1101229	4
1101229	6
1101253	2
1101253	3
1101253	4
1101253	6
1101283	2
1101283	3
1101283	6
1101283	7
1101299	2
1101307	2
1101307	3
1101307	6
1101319	2
1101319	3
1101319	6
1101323	2
1101341	2
1101341	4
1101341	5
1101349	2
1101349	3
1101349	4
1101349	6
1101371	2
1101371	5
1101377	2
1101377	4
1101377	8
1101389	2
1101389	4
1101403	2
1101403	3
1101403	6
1101407	2
1101409	2
1101409	3
1101409	4
1101409	6
1101409	7
1101409	8
1101421	2
1101421	3
1101421	4
1101421	5
1101421	6
1101431	2
1101431	5
1101433	2
1101433	3
1101433	4
1101433	6
1101433	8
1101439	2
1101439	3
1101439	6
1101473	4
1101473	8
1101509	4
1101511	3
1101511	5
1101511	6
1101517	3
1101517	4
1101517	6
1101521	4
1101521	5
1101521	7
1101521	8
1101533	4
1101559	3
1101559	6
1101571	3
1101571	5
1101571	6
1101577	3
1101577	4
1101577	6
1101577	7
1101577	8
1101593	4
1101593	8
1101613	3
1101613	4
1101613	6
1101619	3
1101619	6
1101619	7
1101641	4
1101641	5
1101641	8
1101649	3
1101649	4
1101649	6
1101649	8
1101671	5
1101673	3
1101673	4
1101673	6
1101673	8
1101689	4
1101689	7
1101689	8
1101691	3
1101691	5
1101691	6
1101697	3
1101697	4
1101697	6
1101697	8
1101733	3
1101733	4
1101733	6
1101761	4
1101761	5
1101761	8
1101773	4
1101773	7
1101781	3
